amount,merchant_id,hour,is_fraud
734.96,20,10,0
3104.0,1,5,0
3217.43,88,0,0
1965.65,90,14,0
1964.78,88,6,0
2295.93,5,1,0
4246.55,54,6,0
2837.27,35,11,0
1185.3,85,14,0
974.64,69,2,0
1145.69,7,0,0
2497.54,22,18,0
3938.71,18,5,0
570.26,77,7,0
820.38,39,19,0
910.8,85,3,0
2520.61,22,22,0
4588.8,27,7,0
20.06,21,22,0
971.79,8,5,0
1284.4,61,13,0
2331.73,56,16,0
475.57,90,10,0
3888.2,48,2,0
1207.19,27,4,0
1549.71,14,5,0
4879.73,83,7,0
4813.69,97,10,1
795.3,38,18,0
551.15,18,5,0
2444.79,34,18,0
3015.77,83,0,0
820.14,84,15,0
3081.46,97,2,1
3284.69,54,8,0
3337.24,37,1,0
1326.63,29,23,0
633.17,92,10,0
3400.24,59,23,0
283.08,54,7,0
1292.38,45,5,0
1320.34,87,8,0
4312.66,38,20,0
4972.91,2,6,0
1292.59,29,6,0
3554.45,14,19,0
1491.61,34,8,0
931.78,65,11,0
3836.98,90,17,0
3946.32,86,6,0
155.89,19,17,0
1830.27,59,15,0
815.48,15,13,0
876.33,20,0,0
2901.4,99,4,1
686.87,65,12,0
944.99,80,7,0
2657.43,37,3,0
961.25,92,6,0
1016.45,54,22,0
2992.43,44,20,0
1107.78,63,23,0
781.6,71,17,0
4579.96,96,20,1
4325.65,22,16,0
3942.21,42,20,0
2373.8,2,14,0
3320.62,10,21,0
250.96,41,17,0
1417.94,1,19,0
228.64,6,15,0
785.97,92,20,0
3772.37,39,13,0
1052.7,83,18,0
1220.14,33,20,0
2745.01,41,10,0
934.0,66,11,0
2022.43,61,0,0
3344.33,60,21,0
716.24,96,16,0
3427.45,14,16,0
3753.44,36,19,0
717.06,58,18,0
1523.26,38,9,0
2032.77,6,5,0
4543.68,67,3,1
26.51,62,11,0
3573.65,23,8,0
747.54,55,6,0
4910.35,1,14,0
4138.01,60,14,0
4223.12,66,1,1
1851.82,42,18,0
1732.73,1,13,0
2243.9,36,12,0
3040.2,91,7,0
1999.01,71,6,0
87.96,38,1,0
2282.74,55,4,0
1112.65,38,3,0
732.46,93,21,0
2198.74,82,13,0
2022.34,51,21,0
2174.35,85,2,0
3300.8,67,3,0
3672.22,47,9,0
1209.96,40,21,0
3238.37,33,0,0
823.93,58,1,0
3939.24,96,23,0
679.78,66,8,0
4882.96,33,20,0
3270.59,41,17,0
3779.14,100,7,0
1843.82,6,22,0
4718.32,81,21,0
2652.55,29,10,0
4131.77,52,23,0
2702.85,80,0,0
566.2,9,8,0
4517.72,5,12,0
2957.92,3,13,0
479.38,11,19,0
4531.7,68,22,0
475.3,69,14,0
1061.72,94,10,0
3738.91,50,18,0
2380.7,67,1,0
30.62,44,18,0
85.42,4,4,0
2830.65,58,8,0
2254.9,73,14,0
954.82,17,7,0
433.15,46,17,0
3892.51,67,14,0
459.72,61,8,0
1721.74,5,5,0
2991.93,53,5,0
3216.13,81,15,0
1848.66,44,16,0
1917.59,83,13,0
3962.26,29,23,0
1583.68,53,5,0
4094.37,29,1,1
3696.06,55,8,0
3659.89,24,12,0
2671.8,79,23,0
4428.84,67,13,0
3998.59,45,14,0
351.21,99,6,0
1914.99,10,18,0
1650.43,96,14,0
1211.36,91,17,0
4359.17,10,7,0
3934.29,20,15,0
1121.1,12,11,0
2902.67,63,22,0
286.37,28,22,0
3296.97,61,7,0
691.4,62,18,0
2050.27,21,17,0
4854.75,98,14,1
2333.67,46,9,0
4378.43,88,8,0
411.5,31,5,0
4842.06,22,2,1
2050.87,13,4,0
3143.5,90,6,0
2579.57,36,15,0
2186.98,62,1,0
1866.75,48,19,0
2500.76,6,18,0
2851.16,21,18,0
260.4,31,16,0
4906.76,59,3,1
3263.03,86,6,0
2596.55,33,8,0
2332.18,48,12,0
3815.07,47,21,0
3047.31,98,8,0
2557.48,9,6,0
76.41,93,7,0
4256.46,6,8,0
2877.36,10,18,0
3805.05,51,17,0
1545.67,65,19,0
1394.52,91,6,0
1704.54,44,5,0
635.21,35,12,0
1718.01,54,15,0
1669.45,67,6,0
2786.55,68,4,0
4414.97,63,0,1
2918.44,77,10,0
3141.43,21,6,0
3858.37,56,7,0
1609.54,75,3,0
1881.94,70,5,0
2129.81,63,8,0
2628.7,69,21,0
2864.12,20,3,0
741.87,79,10,0
2252.49,81,11,0
3323.25,43,20,0
4800.87,73,13,0
2513.84,37,12,0
3854.54,63,19,0
653.12,39,20,0
1356.23,91,22,0
3025.55,51,14,0
2044.75,31,13,0
